"","Year","C1","C2","C3","C4","C5"
"1",1973,0.18875,0.04125,0.104583333333333,0.214166666666667,0.45125
"2",1974,0.192427030595635,0.0425207629504505,0.104182994378307,0.213336486403347,0.447532725672261
"3",1975,0.196032067186373,0.0438114151885962,0.103799069830641,0.21250956435265,0.443847883441739
"4",1976,0.199566074307176,0.0451211009397183,0.103431636597343,0.211686005530189,0.440195182625574
"5",1977,0.203030005752127,0.0464489820329222,0.103080762060724,0.210865914747874,0.436574335406353
"6",1978,0.206424804696251,0.0477942376209993,0.102746504337371,0.210049396539901,0.432985056805478
"7",1979,0.209751403815564,0.0491560639043054,0.102428912532134,0.209236555091365,0.429427064656632
"8",1980,0.213010725405381,0.0505336738585955,0.102128026987232,0.208427494169446,0.425900079579346
"9",1981,0.216203681496919,0.0519262969667611,0.101843879526535,0.207622317057105,0.42240382495268
"10",1982,0.219331173972221,0.0533331789544107,0.101576493695125,0.206821126489228,0.418938026889015
"11",1983,0.222394094677435,0.0547535815292412,0.101325884994192,0.206024024591174,0.415502414207958
"12",1984,0.225393325534473,0.0561867821241443,0.101092061111359,0.205231112819657,0.412096718410368
"13",1985,0.228329738651085,0.0576320736439951,0.10087502214649,0.204442491905918,0.408720673652512
"14",1986,0.231204196429377,0.0590887642160691,0.100674760833088,0.203658261801128,0.405374016720339
"15",1987,0.234017551672791,0.060556176944038,0.100491262755314,0.202878521623974,0.402056487003884
"16",1988,0.23677064769159,0.0620336496654907,0.10032450656074,0.202103369610366,0.398767826471814
"17",1989,0.239464318406861,0.0635205347129309,0.100174464168877,0.201332903065234,0.395507779646098
"18",1990,0.242099388453073,0.0650161986782015,0.100041100975558,0.200567218316345,0.392276093576822
"19",1991,0.244676673279209,0.0665200221802862,0.0999243760532533,0.199806410670104,0.389072517817148
"20",1992,0.247196979248502,0.0680313996364416,0.0998242423473673,0.199050574369281,0.385896804398408
"21",1993,0.249661103736801,0.0695497390366116,0.0997406468686012,0.198299802552638,0.382748707805348
"22",1994,0.252069835229584,0.0710744617210776,0.0996735308814341,0.197554187216377,0.379627984951527
"23",1995,0.254423953417651,0.0726050021612991,0.0996228300887951,0.196813819177399,0.376534395154857
"24",1996,0.256724229291518,0.0741408077438995,0.0995884748129848,0.196078788038301,0.373467700113298
"25",1997,0.258971425234532,0.0756813385577521,0.0995703901729125,0.195349182154091,0.370427663880713
"26",1998,0.261166295114736,0.0772260671841226,0.0995684962577072,0.194625088600559,0.367414052842876
"27",1999,0.263309584375498,0.0787744784898262,0.0995827082967664,0.193906593144276,0.364426635693635
"28",2000,0.265402030124935,0.0803260694233544,0.0996129368262992,0.193193780214172,0.36146518341124
"29",2001,0.267444361224147,0.0818803488139327,0.099659087852425,0.192486732874663,0.358529469234833
"30",2002,0.269437298374287,0.0834368371734645,0.0997210630108842,0.191785532800266,0.355619268641099
"31",2003,0.271381554202481,0.0849950665013246,0.0997987597234183,0.191090260251698,0.352734359321079
"32",2004,0.273277833346627,0.0865545800919582,0.0998920713508752,0.190400994053384,0.349874521157156
"33",2005,0.275126832539087,0.0881149323452492,0.100000887343096,0.189717811572366,0.347039536200203
"34",2006,0.276929240689291,0.0896756885796176,0.100125093385636,0.189040788698559,0.344229188646897
"35",2007,0.278685738965277,0.0912364248478078,0.100264571543375,0.188369999826326,0.341443264817214
"36",2008,0.280397000874185,0.0927967277553303,0.100419200401068,0.187705517837337,0.338681553132079
"37",2009,0.282063692341714,0.0943561942815202,0.100588855200892,0.187047414084676,0.335943844091198
"38",2010,0.283686471790576,0.0959144316031752,0.100773407977032,0.186395758378157,0.333229930251061
"39",2011,0.285265990217951,0.0974710569207374,0.100972727687366,0.185750618970835,0.330539606203111
"40",2012,0.286802891271971,0.0990256972869838,0.101186680342296,0.185112062546653,0.327872668552097
"41",2013,0.288297811327238,0.10057798943819,0.101415129130763,0.184480154209215,0.325228915894595
"42",2014,0.289751379559405,0.102127579627734,0.101657934543516,0.183854957471643,0.322608148797704
"43",2015,0.29116421801883,0.103674123462102,0.101914954493658,0.183236534247494,0.320010169777917
"44",2016,0.29253694170332,0.105217285739271,0.102186044434534,0.182624944842701,0.317434783280175
"45",2017,0.293870158629979,0.106756740289426,0.102471057474996,0.182020247948514,0.314881795657086
"46",2018,0.29516446990618,0.108292169817988,0.102769844492098,0.181422500635407,0.312351015148328
"47",2019,0.296420469799672,0.109823265750908,0.103082254241257,0.180831758347934,0.309842251860229
"48",2020,0.297638745807841,0.111349728082216,0.10340813346393,0.180248074900492,0.307355317745521
"49",2021,0.298819878726132,0.112871265223773,0.103747326992851,0.179671502473975,0.304890026583271
"50",2022,0.299964442715656,0.114387593857206,0.104099677854861,0.179102091613286,0.302446193958991
"51",2023,0.301073005369992,0.115898438788002,0.104465027371391,0.178539891225689,0.300023637244928
"52",2024,0.302146127781189,0.117403532801707,0.104843215256612,0.177984948579969,0.297622175580523
"53",2025,0.303184364605001,0.118902616522241,0.105234079713323,0.177437309306377,0.295241629853058
"54",2026,0.304188264125351,0.120395438272251,0.105637457526594,0.176897017397334,0.292881822678471
"55",2027,0.305158368318037,0.121881753935522,0.106053184155211,0.17636411520888,0.290542578382351
"56",2028,0.30609521291371,0.123361326821379,0.106481093820966,0.17583864346283,0.288223722981116
"57",2029,0.306999327460118,0.124833927531077,0.106921019595824,0.175320641249626,0.285925084163355
"58",2030,0.307871235383635,0.126299333826143,0.107372793487005,0.174810146031859,0.28364649127136
"59",2031,0.308711454050086,0.12775733049864,0.107836246520019,0.174307193648434,0.281387775282822
"60",2032,0.309520494824889,0.129207709243334,0.108311208819697,0.173811818319369,0.279148768792712
"61",2033,0.310298863132504,0.130650268531733,0.108797509689238,0.173324052651195,0.276929305995332
