"","Year","C1","C2","C3","C4","C5"
"1",1972,0.185,0.04,0.105,0.215,0.455
"2",1973,0.1846875,0.04125,0.104583333333333,0.215104166666667,0.454375
"3",1974,0.184376535859548,0.0424841638513514,0.104182994378307,0.215204673176603,0.453751632734191
"4",1975,0.184067092160021,0.0437026703505083,0.103798688590026,0.215301661528143,0.453129887371301
"5",1976,0.183759153803299,0.0449056962925556,0.103430125623716,0.215395270900382,0.452509753380046
"6",1977,0.183452706005465,0.0460934164949433,0.103077019280544,0.215485637696068,0.45189122052298
"7",1978,0.183147734290613,0.0472660038209179,0.102739087454108,0.215572895583923,0.451274278850438
"8",1979,0.182844224484759,0.0484236292026538,0.102416052077607,0.215657175540396,0.450658918694584
"9",1980,0.182542162709852,0.0495664616640879,0.102107639071661,0.215738605890855,0.450045130663544
"10",1981,0.182241535377885,0.050694668343464,0.101813578292792,0.215817312350219,0.44943290563564
"11",1982,0.181942329185108,0.0518084145155879,0.101533603482538,0.215893418063057,0.448822234753709
"12",1983,0.181644531106338,0.0529078636137993,0.101267452217214,0.215967043643131,0.448213109419518
"13",1984,0.181348128389361,0.0539931772516631,0.101014865858293,0.216038307212418,0.447605521288266
"14",1985,0.181053108549431,0.055064515244385,0.100775589503408,0.216107324439601,0.446999462263175
"15",1986,0.180759459363867,0.0561220356299535,0.10054937193797,0.216174208578041,0.446394924490169
"16",1987,0.18046716886673,0.0571658946900142,0.100335965587386,0.216239070503237,0.445791900352634
"17",1988,0.180176225343603,0.0581962469704773,0.100135126469872,0.216302018749778,0.44519038246627
"18",1989,0.179886617326454,0.0592132453018646,0.0999466141498628,0.216363159547799,0.444590363674019
"19",1990,0.179598333588583,0.0602170408193976,0.0997701916919964,0.216422596858939,0.443991837041084
"20",1991,0.179311363139664,0.0612077829828315,0.0996056256156747,0.216480432411813,0.443394795850017
"21",1992,0.179025695220865,0.0621856195960366,0.0994526858501929,0.216536765737008,0.442799233595898
"22",1993,0.178741319300053,0.0631506968263334,0.0993111456904278,0.216591694201596,0.442205143981589
"23",1994,0.178458225067088,0.0641031592235821,0.0991807817530797,0.216645313043186,0.441612520913064
"24",1995,0.178176402429187,0.0650431497390309,0.0990613739334596,0.216697715403506,0.441021358494817
"25",1996,0.177895841506376,0.0659708097439267,0.0989527053628169,0.216748992361535,0.440431651025346
"26",1997,0.17761653262702,0.0668862790478903,0.0988545623661986,0.216799232966178,0.439843392992713
"27",1998,0.17733846632343,0.0677896959170606,0.0987667344208347,0.216848524268503,0.439256579070172
"28",1999,0.177061633327541,0.0686811970920095,0.0986890141150435,0.216896951353527,0.438671204111879
"29",2000,0.176786024566675,0.0695609178054321,0.0986211971076484,0.216944597371583,0.438087263148661
"30",2001,0.176511631159373,0.0704289917996136,0.0985630820879023,0.216991543569244,0.437504751383867
"31",2002,0.176238444411297,0.0712855513436773,0.0985144707359109,0.217037869319833,0.436923664189282
"32",2003,0.175966455811209,0.0721307272506157,0.0984751676835511,0.217083652153516,0.436343997101109
"33",2004,0.175695657027018,0.0729646488941084,0.0984449804758756,0.217128967786973,0.435765745816025
"34",2005,0.175426039901901,0.0737874442251282,0.0984237195329997,0.217173890152676,0.435188906187296
"35",2006,0.175157596450483,0.0745992397883408,0.0984111981124639,0.217218491427752,0.434613474220961
"36",2007,0.174890318855097,0.0754001607382977,0.0984072322720649,0.217262842062461,0.43403944607208
"37",2008,0.1746241994621,0.0761903308554278,0.0984116408331518,0.217307010808271,0.43346681804105
"38",2009,0.174359230778261,0.0769698725618288,0.0984242453443788,0.217351064745559,0.432895586569974
"39",2010,0.17409540546721,0.0777389069368616,0.0984448700459107,0.217395069310917,0.432325748239102
"40",2011,0.173832716345954,0.0784975537325505,0.0984733418340752,0.217439088324092,0.431757299763328
"41",2012,0.173571156381452,0.079245931388791,0.0985094902264553,0.217483184014552,0.431190237988751
"42",2013,0.173310718687251,0.079984157048369,0.0985531473274183,0.217527417047677,0.430624559889286
"43",2014,0.173051396520188,0.0807123465717931,0.0986041477940735,0.217571846550598,0.430060262563348
"44",2015,0.172793183277148,0.0814306145519422,0.0986623288026561,0.217616530137674,0.42949734323058
"45",2016,0.17253607249188,0.082139074328532,0.0987275300153289,0.217661523935613,0.428935799228647
"46",2017,0.172280057831869,0.0828378380024015,0.0987995935473993,0.217706882608249,0.428375628010082
"47",2018,0.172025133095273,0.0835270164496231,0.098878363934945,0.217752659380972,0.427816827139187
"48",2019,0.171771292207911,0.0842067193354375,0.0989636881028433,0.217798906064818,0.427259394288991
"49",2020,0.171518529220299,0.0848770551280169,0.0990554153331998,0.217845673080226,0.426703327238259
"50",2021,0.171266838304755,0.0855381311120577,0.0991533972341706,0.217893009480462,0.426148623868555
"51",2022,0.171016213752547,0.0861900534022058,0.0992574877091738,0.217940962974716,0.425595282161358
"52",2023,0.170766649971096,0.0868329269563161,0.0993675429264851,0.217989579950875,0.425043300195227
"53",2024,0.170518141481234,0.087466855588549,0.0994834212892127,0.218038905497985,0.42449267614302
"54",2025,0.170270682914504,0.0880919419823055,0.0996049834056473,0.218088983428386,0.423943408269158
"55",2026,0.170024269010524,0.0887082877030034,0.0997320920599817,0.218139856299546,0.423395494926945
"56",2027,0.16977889461439,0.0893159932106965,0.099864612183396,0.218191565435588,0.42284893455593
"57",2028,0.169534554674128,0.089915157872539,0.100002410825504,0.218244150948509,0.422303725679319
"58",2029,0.169291244238202,0.0905058799750976,0.100145357126157,0.218297651759107,0.421759866901438
"59",2030,0.169048958453055,0.091088256736512,0.100293322287594,0.218352105617607,0.421217356905232
"60",2031,0.168807692560716,0.0916623843185072,0.100446179546952,0.218407549124001,0.420676194449825
"61",2032,0.16856744189643,0.0922283578382589,0.100603804149104,0.218464017748099,0.420136378368108
"62",2033,0.168328201886354,0.0927862713801143,0.100766073319847,0.218521545849297,0.419597907564388
"63",2034,0.168089968045282,0.0933362180071692,0.100932866239423,0.218580166696062,0.419060781012065
"64",2035,0.167852735974419,0.0938782897727052,0.101104064016367,0.218639912485145,0.418524997751364
"65",2036,0.167616501359199,0.0944125777314865,0.101279549661687,0.218700814360522,0.417990556887106
"66",2037,0.167381259967148,0.0949391719509205,0.10145920806336,0.218762902432057,0.417457457586515
"67",2038,0.167147007645774,0.0954581615220817,0.101642925961156,0.218826205793913,0.416925699077075
"68",2039,0.16691374032052,0.095969634570603,0.101830591921764,0.218890752542689,0.416395280644425
"69",2040,0.166681453992736,0.0964736782674342,0.102022096314241,0.218956569795303,0.415866201630286
"70",2041,0.166450144737703,0.0969703788394704,0.102217331285763,0.219023683706621,0.415338461430442
"71",2042,0.166219808702695,0.0974598215800521,0.102416190737676,0.219092119486832,0.414812059492746
"72",2043,0.16599044210507,0.0979420908593382,0.102618570301852,0.219161901418568,0.414286995315171
"73",2044,0.165762041230413,0.098417270134554,0.102824367317336,0.219233052873794,0.413763268443903
"74",2045,0.165534602430701,0.0988854419601156,0.103033480807291,0.219305596330437,0.413240878471456
"75",2046,0.165308122122516,0.099346687997632,0.103245811456222,0.219379553388787,0.412719825034843
"76",2047,0.165082596785288,0.0998010890257875,0.103461261587497,0.219454944787661,0.412200107813766
"77",2048,0.164858022959574,0.100248724950105,0.103679735141139,0.219531790420328,0.411681726528855
"78",2049,0.164634397245371,0.100689674812591,0.1039011376519,0.219610109350209,0.411164680939929
"79",2050,0.164411716300467,0.10112401680127,0.104125376227611,0.219689919826348,0.410648970844304
"80",2051,0.164189976838821,0.101551828259594,0.104352359527802,0.219771239298658,0.410134596075125
"81",2052,0.163969175628974,0.101973185695753,0.104581997742587,0.219854084432948,0.409621556499738
"82",2053,0.163749309492503,0.102388164791864,0.104814202571818,0.219938471125727,0.409109852018088
"83",2054,0.163530375302494,0.102796840413052,0.105048887204497,0.220024414518797,0.408599482561161
"84",2055,0.163312369982054,0.10319928661643,0.105285966298446,0.220111929013631,0.40809044808944
"85",2056,0.163095290502851,0.103595576659959,0.105525355960237,0.220201028285541,0.407582748591412
"86",2057,0.162879133883687,0.103985783011219,0.105766973725363,0.220291725297638,0.407076384082093
"87",2058,0.162663897189097,0.104369977356056,0.106010738538672,0.22038403231459,0.406571354601585
"88",2059,0.16244957752798,0.104748230607148,0.10625657073503,0.220477960916174,0.406067660213668
"89",2060,0.162236172052259,0.105120612912449,0.106504392020243,0.220573522010632,0.405565301004417
"90",2061,0.162023677955566,0.10548719366355,0.106754125452206,0.220670725847827,0.40506427708085
"91",2062,0.16181209247196,0.10584804150393,0.107005695422295,0.220769582032211,0.404564588569604
"92",2063,0.161601412874666,0.10620322433711,0.107259027636991,0.220870099535592,0.404066235615641
"93",2064,0.161391636474851,0.106552809334722,0.107514049099732,0.22097228670972,0.403569218380976
"94",2065,0.161182760620411,0.106896862944466,0.107770688093003,0.221076151298682,0.403073537043439
"95",2066,0.1609747826948,0.107235450897987,0.108028874160635,0.221181700451116,0.402579191795463
"96",2067,0.160767700115877,0.107568638218654,0.108288538090341,0.221288940732237,0.402086182842891
"97",2068,0.160561510334776,0.107896489229244,0.108549611896465,0.221397878135694,0.401594510403821
"98",2069,0.160356210834803,0.108219067559546,0.108812028802948,0.221508518095237,0.401104174707465
"99",2070,0.160151799130362,0.108536436153862,0.109075723226512,0.221620865496221,0.400615175993044
"100",2071,0.159948272765898,0.108848657278434,0.109340630760047,0.221734924686927,0.400127514508694
"101",2072,0.159745629314865,0.109155792528773,0.109606688156221,0.221850699489725,0.399641190510416
"102",2073,0.159543866378721,0.109457902836913,0.109873833311282,0.221968193212057,0.399156204261027
"103",2074,0.159342981585941,0.109755048478566,0.110142005249077,0.22208740865726,0.398672556029155
"104",2075,0.159142972591053,0.110047289080211,0.11041114410526,0.222208348135229,0.398190246088246
"105",2076,0.158943837073703,0.110334683626086,0.110681191111709,0.222331013472907,0.397709274715596
"106",2077,0.158745572737726,0.110617290465104,0.110952088581134,0.222455406024631,0.397229642191405
"107",2078,0.158548177310258,0.110895167317694,0.111223779891882,0.222581526682306,0.396751348797859
"108",2079,0.158351648540851,0.111168371282551,0.111496209472935,0.222709375885437,0.396274394818226
"109",2080,0.15815598420062,0.111436958843321,0.111769322789089,0.222838953630997,0.395798780535975
"110",2081,0.157961182081402,0.111700985875195,0.112043066326333,0.222970259483149,0.395324506233922
"111",2082,0.157767239994944,0.11196050765144,0.112317387577403,0.223103292582822,0.394851572193391
"112",2083,0.157574155772103,0.112215578849845,0.112592235027523,0.223238051657134,0.394379978693396
"113",2084,0.157381927262063,0.112466253559097,0.112867558140324,0.22337453502867,0.393909726009847
"114",2085,0.157190552331581,0.112712585285082,0.113143307343943,0.223512740624625,0.393440814414769
"115",2086,0.157000028864243,0.112954626957116,0.113419434017298,0.223652665985793,0.392973244175551
"116",2087,0.156810354759737,0.113192430934098,0.113695890476535,0.223794308275431,0.3925070155542
"117",2088,0.15662152793315,0.113426049010604,0.11397262996165,0.223937664287969,0.392042128806627
"118",2089,0.156433546314281,0.113655532422898,0.114249606623275,0.224082730457599,0.391578584181947
"119",2090,0.156246407846964,0.113880931854883,0.114526775509639,0.224229502866725,0.39111638192179
"120",2091,0.156060110488418,0.11410229744398,0.114804092553685,0.224377977254274,0.390655522259644
"121",2092,0.155874652208604,0.114319678786942,0.115081514560364,0.224528149023886,0.390196005420203
"122",2093,0.155690030989609,0.114533124945602,0.115358999194075,0.224680013251974,0.38973783161874
"123",2094,0.155506244825034,0.11474268445255,0.115636504966273,0.224833564695651,0.389281001060493
"124",2095,0.155323291719403,0.114948405316755,0.115913991223239,0.224988797800536,0.388825513940067
"125",2096,0.155141169687593,0.115150335029115,0.116191418133993,0.225145706708438,0.388371370440861
"126",2097,0.154959876754268,0.115348520567945,0.116468746678372,0.225304285264916,0.3879185707345
"127",2098,0.154779410953337,0.11554300840441,0.116745938635253,0.225464527026715,0.387467114980286
"128",2099,0.154599770327418,0.115733844507885,0.117022956570932,0.225626425269092,0.387017003324673
"129",2100,0.154420952927328,0.115921074351265,0.117299763827644,0.225789972993018,0.386568235900746
